Bonelliidae stet.,Brachyura stet.,Caridea stet.,Coral rubble,Dead D.pertusum framework,Desmophyllum pertusum,Echinoidea stet.,Echinus stet.,Fauna,Laser points,No observation,Pisces,S3,S5,Sebastes stet.,Shellsand,flat,medium confidence,mucus undeterminable,polyps undeterminable,Acesta stet.,Actiniaria free stet.,Arthropoda stet.,Asteroidea stet.,Bivalvia stet.,Cancer pagurus stet.,Exposed bedrock,G-undeterminable,Gadidae stet.,Holothuroidea stet.,Living D.pertusum framework,Mud,Munida stet.,Parastichopus stet.,Porifera massive,Porifera stet.,Primnoa stet.,S-undeterminable,S1,Sand,Very coarse sediment with mud,high confidence,mucus absent,near-vertical,polyps extended,spare coral associated fauna,steep,Anthothela grandiflora,Bedrock with sediment cover,Crinoidea stet.,Gastropoda stet.,Gorgonian spare,Hydrozoa stet.,Porifera fan/funnel/stalk/cup,G0,G3,Paragorgia stet.,VME Porifera fan/stalk/cup/funnel <10 cm,moderate,Caridea spp. stet.,Serpulidae stet.,Sp-undeterminable,polyps retracted,Hippasteria stet.,overhang,Sp0,Lotidae stet.,Ophiuroidea stet.,marine litter,Sabellidae stet.,Sp1,bin
0.0035373886761813967,4.421735845226746e-4,0.009727818859498841,0.001989781130352036,0.003979562260704072,0.006411516975578782,0.004421735845226746,0.003979562260704072,0.23744721488867626,0.15785596967459484,6.632603767840119e-4,0.01636042262733896,0.0011054339613066864,2.210867922613373e-4,8.843471690453492e-4,0.0033163018839200598,0.0015476075458293612,0.0048639094297494205,0.017023683004122974,0.016139335835077623,0.006190430183317445,0.0066326037678401195,0.0070747773523627934,0.002210867922613373,0.00574825659879477,0.0011054339613066864,0.009727818859498841,0.008401298105930818,0.0017686943380906984,4.421735845226746e-4,0.0017686943380906984,2.210867922613373e-4,4.421735845226746e-4,2.210867922613373e-4,0.004642822637488084,2.210867922613373e-4,0.008843471690453492,0.004200649052965409,8.843471690453492e-4,0.0035373886761813967,0.0015476075458293612,0.0015476075458293612,2.210867922613373e-4,0.01901346413447501,6.632603767840119e-4,0.002874128299397385,0.005527169806533432,0.0011054339613066864,0.012823033951157563,6.632603767840119e-4,2.210867922613373e-4,0.0130441207434189,0.0011054339613066864,0.023214113187440415,0.0017686943380906984,6.632603767840119e-4,0.0035373886761813967,0.03360519242372327,4.421735845226746e-4,2.210867922613373e-4,0.004200649052965409,8.843471690453492e-4,4.421735845226746e-4,2.210867922613373e-4,8.843471690453492e-4,2.210867922613373e-4,2.210867922613373e-4,2.210867922613373e-4,4.421735845226746e-4,2.210867922613373e-4,2.210867922613373e-4,"All(0,950]"
0.059498946552047946,0.0049582455460039955,0.029749473276023973,0.029749473276023973,0.014874736638011987,0.009916491092007991,0.0049582455460039955,0.0049582455460039955,0.15866385747212786,0.16858034856413584,0.0049582455460039955,0.0049582455460039955,0.0049582455460039955,0.0049582455460039955,0.0049582455460039955,0.029749473276023973,0.024791227730019978,0.009916491092007991,0.009916491092007991,0.009916491092007991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0,50]"
0,0.004252045490455255,0.06803272784728408,0.012756136471365765,0.05527659137591832,0.10630113726138138,0,0,0.07228477333773933,0.24661863844640478,0,0.01700818196182102,0.01700818196182102,0,0,0.00850409098091051,0.00850409098091051,0.021260227452276275,0.10630113726138138,0.10630113726138138,0.11905727373274715,0.01700818196182102,0.021260227452276275,0.004252045490455255,0.06803272784728408,0.012756136471365765,0.02551227294273153,0.004252045490455255,0.004252045490455255,0.00850409098091051,0.02551227294273153,0.004252045490455255,0.00850409098091051,0.004252045490455255,0.02551227294273153,0.004252045490455255,0.004252045490455255,0.07653681882819459,0.012756136471365765,0.004252045490455255,0.012756136471365765,0.01700818196182102,0.004252045490455255,0.02551227294273153,0.004252045490455255,0.029764318433186786,0.00850409098091051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50,100]"
0,0,0.09133131430751316,0,0.010147923811945908,0.010147923811945908,0.010147923811945908,0.01522188571791886,0.3501033715121338,0.31458563817032315,0.005073961905972954,0,0,0,0.005073961905972954,0,0,0.005073961905972954,0.06088754287167544,0.06088754287167544,0,0.01522188571791886,0.05581358096570249,0,0.050739619059729534,0,0.020295847623891815,0.050739619059729534,0,0,0.010147923811945908,0,0,0,0.010147923811945908,0,0.04566565715375658,0.005073961905972954,0.005073961905972954,0,0,0,0,0.050739619059729534,0,0.010147923811945908,0,0.010147923811945908,0.025369809529864767,0.005073961905972954,0.005073961905972954,0.1319230095552968,0.020295847623891815,0.020295847623891815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(100,150]"
0.0049272297331101516,0,0,0,0,0,0.0049272297331101516,0.009854459466220303,0.7341572302334126,0.3449060813177106,0,0.0049272297331101516,0,0,0,0,0,0.009854459466220303,0.03449060813177106,0.03449060813177106,0,0.019708918932440606,0.04434506759799137,0.019708918932440606,0,0,0.019708918932440606,0.019708918932440606,0,0,0,0,0,0,0,0,0.03449060813177106,0,0,0,0,0.0049272297331101516,0,0.05419952706421167,0,0.014781689199330454,0,0.009854459466220303,0.03941783786488121,0.0049272297331101516,0,0.06405398653043197,0,0.014781689199330454,0.009854459466220303,0.0049272297331101516,0.014781689199330454,0.08869013519598273,0.0049272297331101516,0,0,0,0,0,0,0,0,0,0,0,0,"(150,200]"
0.0060925959636301315,0,0.024370383854520526,0,0,0,0.0060925959636301315,0.024370383854520526,1.4256674554894508,0.45085210130862974,0,0.018277787890890396,0,0,0,0,0,0.04264817174541092,0.04264817174541092,0.024370383854520526,0,0.024370383854520526,0.0060925959636301315,0.0060925959636301315,0,0,0.024370383854520526,0.024370383854520526,0,0,0,0,0,0,0.018277787890890396,0,0.024370383854520526,0,0,0,0,0,0,0.07311115156356159,0.0060925959636301315,0.0060925959636301315,0,0,0.04874076770904105,0.0060925959636301315,0,0.09138893945445198,0,0.10357413138171224,0.012185191927260263,0.0060925959636301315,0.03046297981815066,0.12185191927260264,0,0.0060925959636301315,0.018277787890890396,0.0060925959636301315,0.012185191927260263,0,0,0,0,0,0,0,0,"(200,250]"
0.005192173352856474,0,0,0,0,0,0.010384346705712947,0.010384346705712947,1.204584217862702,0.3530677879942402,0,0.020768693411425895,0,0,0,0,0,0,0,0,0,0.020768693411425895,0.020768693411425895,0.010384346705712947,0,0,0.020768693411425895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06230608023427769,0,0,0,0,0.04153738682285179,0,0,0.005192173352856474,0,0.08826694699856005,0,0,0,0.2596086676428237,0,0,0.02596086676428237,0.010384346705712947,0,0,0,0,0,0,0,0,0,"(250,300]"
0,0,0,0,0,0,0.008007981099741808,0.004003990549870904,0.2762753479410924,0.17617558419431975,0.004003990549870904,0.03203192439896723,0,0,0,0,0,0.016015962199483615,0.07607582044754717,0.07207182989767627,0,0.004003990549870904,0,0,0,0,0.028027933849096326,0.05605586769819265,0.004003990549870904,0,0,0,0,0,0,0,0.06806783934780536,0,0,0,0,0.004003990549870904,0,0.028027933849096326,0.004003990549870904,0,0,0,0.008007981099741808,0,0,0.004003990549870904,0.004003990549870904,0.04003990549870904,0.016015962199483615,0.004003990549870904,0.02001995274935452,0.11611572594625622,0,0,0,0,0,0.004003990549870904,0.016015962199483615,0,0,0,0,0,0,"(300,350]"
0,0,0,0,0,0,0.007490951486862249,0,0.30712901096135226,0.1648009327109695,0,0.04869118466460462,0,0,0.0037454757434311247,0,0,0.0037454757434311247,0.018727378717155622,0.018727378717155622,0,0.011236427230293375,0,0,0,0,0.02247285446058675,0.018727378717155622,0,0,0,0,0,0,0,0,0.007490951486862249,0,0,0,0,0,0,0.026218330204017874,0,0,0,0.0037454757434311247,0.007490951486862249,0,0,0.011236427230293375,0,0.05243666040803575,0,0,0.011236427230293375,0.033709281690880125,0,0,0.0037454757434311247,0,0,0,0,0.0037454757434311247,0,0,0,0,0,"(350,400]"
0,0,0,0,0,0,0.012312599150823287,0.01641679886776438,0.086188194055763,0.18468898726234928,0,0.05335459632023424,0,0,0,0.012312599150823287,0,0,0,0,0,0.004104199716941095,0,0.004104199716941095,0,0.004104199716941095,0,0,0.00820839943388219,0,0,0,0,0,0.004104199716941095,0,0,0,0,0.004104199716941095,0,0,0,0.012312599150823287,0,0,0.01641679886776438,0,0.028729398018587666,0,0,0,0,0.01641679886776438,0,0,0,0.004104199716941095,0.004104199716941095,0,0,0,0,0,0,0,0.004104199716941095,0.004104199716941095,0.00820839943388219,0,0,"(400,450]"
