Acesta stet.,Actiniaria free stet.,Arthropoda stet.,Bonelliidae stet.,Brachyura stet.,Cancer pagurus stet.,Caridea stet.,Coral rubble,Dead D.pertusum framework,Desmophyllum pertusum,Echinoidea stet.,Echinus stet.,Fauna,Gadidae stet.,Holothuroidea stet.,Laser points,Mud,Munida stet.,No observation,Parastichopus stet.,Pisces,S3,S5,Sand,Sebastes stet.,Shellsand,Very coarse sediment with mud,flat,high confidence,medium confidence,mucus absent,mucus undeterminable,polyps extended,polyps undeterminable,steep,Asteroidea stet.,Bivalvia stet.,Exposed bedrock,G-undeterminable,Gorgonian spare,Living D.pertusum framework,Porifera massive,Porifera stet.,Primnoa stet.,S-undeterminable,S1,near-vertical,spare coral associated fauna,Anthothela grandiflora,Bedrock with sediment cover,Crinoidea stet.,Gastropoda stet.,Hydrozoa stet.,Porifera fan/funnel/stalk/cup,G3,Paragorgia stet.,VME Porifera fan/stalk/cup/funnel <10 cm,moderate,G0,Caridea spp. stet.,Serpulidae stet.,Sp-undeterminable,polyps retracted,bin
0.021023438004124435,0.014265904359941581,0.02252511214727618,0.01126255607363809,0.0015016741431517454,0.002252511214727618,0.0330368311493384,0.006757533644182854,0.013515067288365708,0.021774275075700306,0.005255859501031109,0.009010044858910472,0.5398518544630524,7.508370715758727e-4,0.0015016741431517454,0.2703013457673142,7.508370715758727e-4,0.0015016741431517454,0.0015016741431517454,7.508370715758727e-4,0.009010044858910472,0.0037541853578793635,7.508370715758727e-4,7.508370715758727e-4,0.0015016741431517454,0.0060066965726069815,0.002252511214727618,0.005255859501031109,0.0037541853578793635,0.012764230216789836,7.508370715758727e-4,0.03979436479352125,0.0015016741431517454,0.03754185357879363,0.0015016741431517454,0.0060066965726069815,0.01952176386097269,0.015767578503093325,0.014265904359941581,0.041296038936672996,0.0060066965726069815,0.0082592077873346,7.508370715758727e-4,0.015767578503093325,0.014265904359941581,0.0030033482863034908,0.03754185357879363,0.009760881930486345,0.0030033482863034908,0.021774275075700306,0.002252511214727618,7.508370715758727e-4,0.0030033482863034908,0.030033482863034908,0.0015016741431517454,0.0060066965726069815,0.0630703140123733,7.508370715758727e-4,0.0030033482863034908,7.508370715758727e-4,0.0060066965726069815,0.0015016741431517454,0.0015016741431517454,"All(0,450]"
0.15163676078272956,0.014441596265021863,0.028883192530043726,0.08664957759013117,0.014441596265021863,0.014441596265021863,0.15163676078272956,0.05776638506008745,0.021662394397532793,0.043324788795065586,0.0072207981325109315,0.0072207981325109315,0.2743903290354154,0.0072207981325109315,0.0072207981325109315,0.3754815028905684,0.0072207981325109315,0.014441596265021863,0.0072207981325109315,0.0072207981325109315,0.0072207981325109315,0.03610399066255466,0.0072207981325109315,0.0072207981325109315,0.0072207981325109315,0.05776638506008745,0.014441596265021863,0.05054558692757652,0.028883192530043726,0.028883192530043726,0.0072207981325109315,0.03610399066255466,0.0072207981325109315,0.03610399066255466,0.0072207981325109315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0,50]"
0.05423943253661653,0.015496980724747582,0.007748490362373791,0,0,0.007748490362373791,0.007748490362373791,0.007748490362373791,0.11622735543560686,0.1782152783345972,0,0,0.12397584579798065,0,0.007748490362373791,0.4184184795681847,0,0,0,0,0.030993961449495164,0,0,0,0,0,0.007748490362373791,0,0,0.030993961449495164,0,0.19371225905934478,0,0.19371225905934478,0.007748490362373791,0.007748490362373791,0.20146074942171854,0.05423943253661653,0.015496980724747582,0.06198792289899033,0.06198792289899033,0.046490942174242746,0.007748490362373791,0.015496980724747582,0.147221316885102,0.030993961449495164,0.06198792289899033,0.06973641326136412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(50,100]"
0,0.020271001822633295,0.07432700668298875,0,0,0,0.12162601093579978,0,0,0,0.013514001215088863,0.020271001822633295,0.39190603523757706,0,0,0.3108220279470439,0,0,0.006757000607544431,0,0,0,0,0,0.006757000607544431,0,0,0,0,0,0,0.06081300546789989,0,0.06081300546789989,0,0,0,0.020271001822633295,0.06081300546789989,0.12162601093579978,0,0.013514001215088863,0,0.05405600486035545,0,0,0.05405600486035545,0,0.013514001215088863,0.03378500303772216,0.006757000607544431,0.006757000607544431,0.020271001822633295,0.027028002430177726,0,0,0,0,0,0,0,0,0,"(100,150]"
0,0.007759468006921783,0.06983521206229605,0,0,0,0,0,0,0,0,0.015518936013843566,0.7371494606575694,0,0,0.34141659230455845,0,0,0,0,0.007759468006921783,0,0,0,0,0,0,0,0,0.007759468006921783,0,0.015518936013843566,0,0.015518936013843566,0,0.015518936013843566,0,0,0.007759468006921783,0.007759468006921783,0,0,0,0.015518936013843566,0,0,0.046556808041530694,0.007759468006921783,0,0.05431627604845248,0.007759468006921783,0,0.007759468006921783,0.007759468006921783,0.007759468006921783,0.007759468006921783,0.06207574405537426,0.007759468006921783,0,0,0,0,0,"(150,200]"
0,0.018803131190931032,0,0.00626771039697701,0,0,0,0,0,0,0.00626771039697701,0,0.4199365965974597,0,0,0.1880313119093103,0,0,0,0,0,0,0,0,0,0,0,0,0.00626771039697701,0.00626771039697701,0,0.031338551984885055,0,0.031338551984885055,0,0.01253542079395402,0,0.02507084158790804,0.018803131190931032,0.07521252476372413,0,0,0,0.031338551984885055,0,0,0.031338551984885055,0.01253542079395402,0.01253542079395402,0.00626771039697701,0,0,0,0.01253542079395402,0,0.01253542079395402,0.06267710396977011,0,0.01253542079395402,0,0,0,0,"(200,250]"
0,0.024090712501792608,0.006022678125448152,0,0,0,0.024090712501792608,0,0,0,0.006022678125448152,0.006022678125448152,1.0479459938279785,0,0,0.3252246187742002,0,0,0,0,0.012045356250896304,0,0,0,0,0,0,0,0,0.04215874687813707,0,0.04215874687813707,0.006022678125448152,0.024090712501792608,0,0.006022678125448152,0,0.024090712501792608,0.024090712501792608,0.09034017188172229,0,0.018068034376344456,0,0.024090712501792608,0,0,0.05420410312903337,0.006022678125448152,0,0.03011339062724076,0,0,0,0.048181425003585215,0.006022678125448152,0.03011339062724076,0.07829481563082598,0,0.012045356250896304,0.006022678125448152,0.012045356250896304,0.006022678125448152,0.012045356250896304,"(250,300]"
0,0.0073901446408966434,0.0073901446408966434,0.0073901446408966434,0,0,0,0,0,0,0.0073901446408966434,0.029560578563586574,0.7020637408851811,0,0,0.2512649177904859,0,0,0,0,0.014780289281793287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04434086784537986,0,0,0.04434086784537986,0.0073901446408966434,0,0,0.08868173569075972,0,0,0.08868173569075972,0,0,0,0.014780289281793287,0,0,"(300,350]"
0,0.019952487525382534,0.019952487525382534,0.006650829175127511,0,0,0,0,0,0,0.006650829175127511,0.006650829175127511,1.0774343263706567,0,0,0.26603316700510043,0,0,0,0,0.013301658350255022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013301658350255022,0,0.019952487525382534,0,0.006650829175127511,0,0,0,0,0,0,0.046555804225892575,0,0,0.026603316700510044,0,0,0,0.07315912092640262,0,0,0.23942985030459038,0,0,0,0.026603316700510044,0.006650829175127511,0,"(350,400]"
0,0,0,0,0,0,0,0,0,0,0,0,0.07946796346435127,0,0,0.03405769862757911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005676283104596519,0,0,0.005676283104596519,0,0,0,0.011352566209193038,0,0,0.028381415522982595,0,0,0,0,0,0,"(400,450]"
